Country,Year,Per Capita Beef Consump.
Austria,2000,19.507198
Austria,2001,18.675701
Austria,2002,18.914215
Austria,2003,18.664463
Austria,2004,18.283525
Austria,2005,17.841213
Austria,2006,18.205616
Austria,2007,17.860197
Austria,2008,17.890211
Austria,2009,17.405983
Austria,2010,17.49528
Austria,2011,17.395704
Austria,2012,17.375961
Austria,2013,17.166212
Austria,2014,14.067133
Austria,2015,14.207342
Austria,2016,15.967387
Austria,2017,15.507746
Austria,2018,16.837822
Austria,2019,16.21829
Austria,2020,15.007051
Austria,2021,14.118832
Austria,2022,14.2802305
Belgium,2000,19.48089
Belgium,2001,20.738174
Belgium,2002,19.601423
Belgium,2003,18.725756
Belgium,2004,19.647074
Belgium,2005,18.772015
Belgium,2006,20.73747
Belgium,2007,20.691757
Belgium,2008,19.263166
Belgium,2009,18.352901
Belgium,2010,18.20183
Belgium,2011,16.108137
Belgium,2012,15.7509365
Belgium,2013,15.550147
Belgium,2014,12.642228
Belgium,2015,12.270512
Belgium,2016,11.833409
Belgium,2017,11.688118
Belgium,2018,12.101131
Belgium,2019,14.525171
Belgium,2020,14.046264
Belgium,2021,13.276395
Belgium,2022,12.945678
Bulgaria,2000,8.780528
Bulgaria,2001,11.099155
Bulgaria,2002,6.6768303
Bulgaria,2003,7.4024606
Bulgaria,2004,9.574524
Bulgaria,2005,12.57029
Bulgaria,2006,13.798699
Bulgaria,2007,5.0739684
Bulgaria,2008,5.118453
Bulgaria,2009,4.932169
Bulgaria,2010,4.8079515
Bulgaria,2011,4.3950353
Bulgaria,2012,3.8582704
Bulgaria,2013,3.7746055
Bulgaria,2014,3.9700732
Bulgaria,2015,3.879928
Bulgaria,2016,3.9445326
Bulgaria,2017,3.6949363
Bulgaria,2018,3.3131447
Bulgaria,2019,4.0037494
Bulgaria,2020,3.3317323
Bulgaria,2021,3.9649796
Bulgaria,2022,3.5867763
Croatia,2000,7.0547295
Croatia,2001,5.6452394
Croatia,2002,6.03389
Croatia,2003,6.5038104
Croatia,2004,7.9423676
Croatia,2005,7.4880495
Croatia,2006,8.959301
Croatia,2007,8.857533
Croatia,2008,9.832303
Croatia,2009,10.475029
Croatia,2010,9.385073
Croatia,2011,9.24079
Croatia,2012,12.834422
Croatia,2013,12.634843
Croatia,2014,11.614834
Croatia,2015,11.929282
Croatia,2016,12.365618
Croatia,2017,13.042378
Croatia,2018,13.727449
Croatia,2019,13.208693
Croatia,2020,12.164337
Croatia,2021,13.904139
Croatia,2022,14.916444
Cyprus,2000,6.3883834
Cyprus,2001,5.3226695
Cyprus,2002,5.3920608
Cyprus,2003,5.461244
Cyprus,2004,4.871011
Cyprus,2005,5.602882
Cyprus,2006,5.019233
Cyprus,2007,5.628496
Cyprus,2008,5.636578
Cyprus,2009,6.1563025
Cyprus,2010,6.7711725
Cyprus,2011,6.881568
Cyprus,2012,6.6888576
