Country,Year,Price €/100kg
Austria,2000,241.43
Austria,2001,204.86
Austria,2002,225.99
Austria,2003,227.54
Austria,2004,230.69
Austria,2005,257.57
Austria,2006,271.14
Austria,2007,270.45
Austria,2008,289.31
Austria,2009,278.13
Austria,2010,280.97
Austria,2011,315.78
Austria,2012,349.25
Austria,2013,347.03
Austria,2014,336.75
Austria,2015,355.6
Austria,2016,345.55
Austria,2017,360.32
Austria,2018,361.4
Austria,2019,349.46
Austria,2020,342.35
Austria,2021,374.18
Austria,2022,452.98
Belgium,2000,228.33
Belgium,2001,197.42
Belgium,2002,202.95
Belgium,2003,214.43
Belgium,2004,210.75
Belgium,2005,221.3
Belgium,2006,262.37
Belgium,2007,251.3
Belgium,2008,268.84
Belgium,2009,272.55
Belgium,2010,266.37
Belgium,2011,285.88
Belgium,2012,319.66
Belgium,2013,326.89
Belgium,2014,313.43
Belgium,2015,323.93
Belgium,2016,312.97
Belgium,2017,317.52
Belgium,2018,321.79
Belgium,2019,319.3
Belgium,2020,308.94
Belgium,2021,332.33
Belgium,2022,437.26
Bulgaria,2007,191.11
Bulgaria,2008,204.77
Bulgaria,2009,209.61
Bulgaria,2010,216.88
Bulgaria,2011,248.82
Bulgaria,2012,253.91
Bulgaria,2013,248.69
Bulgaria,2014,255.08
Bulgaria,2015,245.44
Bulgaria,2016,234.59
Bulgaria,2017,215.19
Bulgaria,2018,246.77
Bulgaria,2019,270.14
Bulgaria,2020,254.76
Bulgaria,2021,260.34
Bulgaria,2022,345.09
Croatia,2013,311.56
Croatia,2014,304.67
Croatia,2015,317.24
Croatia,2016,311.18
Croatia,2017,311.29
Croatia,2018,314.99
Croatia,2019,316.73
Croatia,2020,307.39
Croatia,2021,334.07
Croatia,2022,441.84
Cyprus,2004,258.86
Cyprus,2005,252.69
Cyprus,2006,227.77
Cyprus,2007,225.93
Cyprus,2008,227.67
Cyprus,2009,228.6
Cyprus,2010,230.24
Cyprus,2011,249.81
Cyprus,2012,253.69
Cyprus,2013,259.46
Cyprus,2014,259.28
Cyprus,2015,237.83
Cyprus,2016,226.18
Cyprus,2017,229.05
Cyprus,2018,230.83
Cyprus,2019,228.86
Cyprus,2020,252.01
Cyprus,2021,255.32
Cyprus,2022,253.42
Czechia,2004,179.78
Czechia,2005,202.33
Czechia,2006,222.34
Czechia,2007,221.62
Czechia,2008,245.2
Czechia,2009,235.44
Czechia,2010,241.73
Czechia,2011,267.38
Czechia,2012,293.42
Czechia,2013,285.41
Czechia,2014,262.77
Czechia,2015,273.04
Czechia,2016,267.36
Czechia,2017,280.91
Czechia,2018,287.93
Czechia,2019,279.74
Czechia,2020,261.42
Czechia,2021,289.44
Czechia,2022,377.0
Denmark,2000,247.74
Denmark,2001,220.63
Denmark,2002,222.97
Denmark,2003,226.81
Denmark,2004,233.94
Denmark,2005,259.6
Denmark,2006,285.35
Denmark,2007,269.27
Denmark,2008,288.13
Denmark,2009,269.95
Denmark,2010,287.54
Denmark,2011,322.12
Denmark,2012,354.47
Denmark,2013,357.44
Denmark,2014,340.06
Denmark,2015,351.52
Denmark,2016,344.32
Denmark,2017,355.16
Denmark,2018,353.28
Denmark,2019,331.97
Denmark,2020,319.99
Denmark,2021,345.86
Denmark,2022,465.38
Estonia,2004,139.36
Estonia,2005,167.99
Estonia,2006,186.86
Estonia,2007,191.89
Estonia,2008,211.39
Estonia,2009,215.55
Estonia,2010,222.47
Estonia,2011,230.83
Estonia,2012,278.08
Estonia,2013,279.62
Estonia,2014,250.23
Estonia,2015,240.32
Estonia,2016,256.11
Estonia,2017,277.84
Estonia,2018,270.26
Estonia,2019,259.67
Estonia,2020,252.55
Estonia,2021,267.6
Estonia,2022,400.21
European Union,2000,263.44
European Union,2001,230.69
European Union,2002,240.79
European Union,2003,242.68
European Union,2004,250.46
European Union,2005,267.64
European Union,2006,285.08
European Union,2007,278.36
European Union,2008,297.97
European Union,2009,282.09
European Union,2010,285.35
European Union,2011,322.65
European Union,2012,360.95
European Union,2013,370.43
European Union,2014,355.36
European Union,2015,364.87
European Union,2016,352.81
European Union,2017,364.17
European Union,2018,365.17
European Union,2019,348.53
European Union,2020,342.04
European Union,2021,377.66
European Union,2022,469.26
Finland,2000,236.33
Finland,2001,237.5
Finland,2002,221.93
Finland,2003,216.14
Finland,2004,221.01
Finland,2005,231.32
Finland,2006,248.88
Finland,2007,256.97
Finland,2008,276.49
Finland,2009,279.89
Finland,2010,269.61
Finland,2011,283.55
Finland,2012,309.45
Finland,2013,335.69
Finland,2014,329.5
Finland,2015,315.87
Finland,2016,312.79
Finland,2017,329.35
Finland,2018,345.58
Finland,2019,345.21
Finland,2020,348.01
Finland,2021,351.59
Finland,2022,408.14
France,2000,283.9
France,2001,253.54
France,2002,250.29
France,2003,260.86
France,2004,280.45
France,2005,298.9
France,2006,314.51
France,2007,301.74
France,2008,309.55
France,2009,296.55
France,2010,299.57
France,2011,322.2
France,2012,367.73
France,2013,396.57
France,2014,369.8
France,2015,368.16
France,2016,348.24
France,2017,361.47
France,2018,360.61
France,2019,359.06
France,2020,356.38
France,2021,370.49
France,2022,485.44
Germany,2000,241.51
Germany,2001,183.66
Germany,2002,215.42
Germany,2003,210.29
Germany,2004,223.19
Germany,2005,255.58
Germany,2006,266.52
Germany,2007,262.37
Germany,2008,287.77
Germany,2009,271.66
Germany,2010,274.2
Germany,2011,314.79
Germany,2012,355.76
Germany,2013,350.75
Germany,2014,331.56
Germany,2015,340.92
Germany,2016,327.94
Germany,2017,345.2
Germany,2018,349.86
